amp;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;64;16;1;l;21.5600;16.8800
;128;16;1;l;17.8000;13.6000
;256;16;1;l;13.2500;11.6200
;512;16;1;l;5.1200;6.5700
;1024;16;1;l;1.3700;3.9000
;2048;16;1;l;.8300;2.4400
;32;32;1;l;11.3800;12.7500
;64;32;1;l;9.2200;9.9400
;128;32;1;l;6.7500;7.8300
;256;32;1;l;2.7000;4.2900
;512;32;1;l;.7300;2.7600
;1024;32;1;l;.4600;1.9400
;32;16;2;l;21.6300;14.1800
;64;16;2;l;16.4400;11.1100
;128;16;2;l;14.4500;6.6000
;256;16;2;l;6.3700;4.7200
;512;16;2;l;1.2900;1.3900
;1024;16;2;l;.5200;.1200
;16;32;2;l;11.4300;10.0000
;32;32;2;l;8.3700;7.1800
;64;32;2;l;7.3800;4.5700
;128;32;2;l;3.3800;2.9800
;256;32;2;l;.6900;.8400
;512;32;2;l;.2800;.0700
;16;16;4;l;22.2300;13.8100
;32;16;4;l;16.4300;10.9900
;64;16;4;l;16.1000;6.8500
;128;16;4;l;7.6900;2.2400
;256;16;4;l;1.2900;1.0800
;512;16;4;l;.5500;.0700
;8;32;4;l;12.5100;8.8800
;16;32;4;l;8.3500;6.8300
;32;32;4;l;8.1700;4.5500
;64;32;4;l;4.0300;1.2900
;128;32;4;l;.6600;.6000
;256;32;4;l;.3100;.0500
basicmath;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;64;16;1;l;41.3700;7.2300
;128;16;1;l;34.2300;4.8700
;256;16;1;l;27.9800;2.9700
;512;16;1;l;22.3900;2.5600
;1024;16;1;l;15.9900;0
;2048;16;1;l;6.3900;0
;32;32;1;l;23.8700;7.6800
;64;32;1;l;20.0100;4.7700
;128;32;1;l;16.4900;3.2200
;256;32;1;l;13.1900;2.6400
;512;32;1;l;9.6900;0
;1024;32;1;l;4.0300;0
;32;16;2;l;40.5400;4.4900
;64;16;2;l;33.5800;1.8700
;128;16;2;l;25.3700;.3700
;256;16;2;l;17.9000;.1400
;512;16;2;l;11.7200;0
;1024;16;2;l;4.2600;0
;16;32;2;l;24.2500;5.3200
;32;32;2;l;19.8200;1.8900
;64;32;2;l;15.0900;.5300
;128;32;2;l;10.4300;.1400
;256;32;2;l;7.2200;0
;512;32;2;l;2.8400;0
;16;16;4;l;39.4000;3.8900
;32;16;4;l;31.9800;1.2800
;64;16;4;l;25.4900;.1800
;128;16;4;l;16.9900;.0100
;256;16;4;l;11.9200;0
;512;16;4;l;2.2400;0
;8;32;4;l;24.6300;3.3500
;16;32;4;l;18.7400;1.3900
;32;32;4;l;14.9300;.4900
;64;32;4;l;9.7200;.0100
;128;32;4;l;7.3800;0
;256;32;4;l;1.8900;0
