
asm;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;32;32;1;;;
;16;32;2;;;
;8;32;4;;;
;4;32;8;;;
;2;32;16;;;
;1;32;32;;;

basicmath;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;32;32;1;;;
;16;32;2;;;
;8;32;4;;;
;4;32;8;;;
;2;32;16;;;
;1;32;32;;;

asm;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;32;32;1;;;
;16;32;2;;;
;8;32;4;;;
;4;32;8;;;
;2;32;16;;;
;1;32;32;;;

basicmath;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;32;32;1;;;
;16;32;2;;;
;8;32;4;;;
;4;32;8;;;
;2;32;16;;;
;1;32;32;;;
